"ad_table_id","tabla","nombre_tabla","descripcion_tabla","ad_column_id","columna","nombre_columna","etiqueta","descripcion_columna","ayuda_columna","ad_reference_id","tipo_referencia","longitud","es_clave","es_padre","obligatorio","identificador","traducible","actualizable","logica_solo_lectura","valor_por_defecto","callout","ad_reference_value_id","referencia_valor","regla_validacion","codigo_regla_validacion","columna_sql","secuencia"
53123,"A_Asset_Acct","Cuenta Activo",NULL,60353,"A_Asset_Acct_UU","A_Asset_Acct_UU","A_Asset_Acct_UU",NULL,NULL,200231,"UUID",36,"N","N","N","N","N","Y",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
53123,"A_Asset_Acct","Cuenta Activo",NULL,55599,"A_Asset_ID","Activo","Activo","Activo usado por la compañía o sus clientes","Indica si es usado por la compañía o sus clientes",30,"Search",22,"N","Y","Y","N","N","N",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
53123,"A_Asset_Acct","Cuenta Activo",NULL,55597,"AD_Client_ID","Grupo Empresarial","Grupo Empresarial","Grupo Empresarial para esta instalación","Grupo Empresarial. No se pueden compartir datos entre diferentes grupos empresariales.",19,"Table Direct",22,"N","N","Y","N","N","Y",NULL,NULL,NULL,129,"AD_Client","AD_Client Trx Security validation","AD_Client.AD_Client_ID <> 0",NULL,NULL
53123,"A_Asset_Acct","Cuenta Activo",NULL,55600,"A_Depreciation_Acct","Cuenta Gastos Depreciación","Cuenta Gastos Depreciación",NULL,NULL,25,"Account",40,"N","N","Y","N","N","Y",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
53123,"A_Asset_Acct","Cuenta Activo",NULL,59307,"A_Depreciation_Conv_F_ID","Convención Depreciación (fiscal)","Convención Depreciación (fiscal)",NULL,NULL,18,"Table",22,"N","N","N","N","N","Y",NULL,NULL,NULL,53267,"A_ConventionType",NULL,NULL,NULL,NULL
53123,"A_Asset_Acct","Cuenta Activo",NULL,55632,"A_Depreciation_Conv_ID","Tipo Convención","Tipo Convención",NULL,NULL,18,"Table",10,"N","N","N","N","N","Y",NULL,NULL,NULL,53267,"A_ConventionType",NULL,NULL,NULL,NULL
53123,"A_Asset_Acct","Cuenta Activo",NULL,59306,"A_Depreciation_F_ID","Depreciación (fiscal)","Depreciación (fiscal)",NULL,NULL,18,"Table",22,"N","N","Y","N","N","Y",NULL,NULL,NULL,53264,"A_Depreciation_Type",NULL,NULL,NULL,NULL
53123,"A_Asset_Acct","Cuenta Activo",NULL,55601,"A_Depreciation_ID","Tipo Depreciación","Tipo Depreciación",NULL,NULL,18,"Table",22,"N","N","Y","N","N","Y",NULL,NULL,"org.idempiere.fa.model.CalloutAsset.Field_Clear",53264,"A_Depreciation_Type",NULL,NULL,NULL,NULL
53123,"A_Asset_Acct","Cuenta Activo",NULL,55629,"A_Depreciation_Manual_Amount","Cantidad Manual Depreciación","Cantidad Manual Depreciación",NULL,NULL,12,"Amount",22,"N","N","N","N","N","Y",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
53123,"A_Asset_Acct","Cuenta Activo",NULL,55602,"A_Depreciation_Manual_Period","Período Manual Depreciación","Período Manual Depreciación",NULL,NULL,17,"List",2,"N","N","N","N","N","Y",NULL,NULL,NULL,53256,"A_Depreciation_Manual_Period",NULL,NULL,NULL,NULL
53123,"A_Asset_Acct","Cuenta Activo",NULL,59305,"A_Depreciation_Method_F_ID","Método Depreciación (fiscal)","Método Depreciación (fiscal)",NULL,NULL,18,"Table",22,"N","N","N","N","N","Y",NULL,NULL,NULL,53362,"A_Depreciation_Method",NULL,NULL,NULL,NULL
